case_num,publication_num,decision_date,court_provided_header,court_provided_keywords,court_provided_class,legal_area,applicant_names,applicant_class,respondent_names,respondent_class
B 317-89,NJA 1989 s. 308,1989-06-14,"En folksamling på drygt 200 personer hade tagit sig in på en arbetsplats för ett motorvägsbygge i syfte att hindra bygget. Deltagare i folksamlingen, som vägrat att följa uppmaning från polisen att lämna arbetsplatsen, har dömts för ohörsamhet mot ordningsmakten.","Ohörsamhetmotpolismakten,Ordningsmakten,",B,8,åklagaren,Oa,"K.Å.,Å.L.,C.K.,P.T","Pw,Px,Px,Px"
B 320-89,NJA 1989 s. 564,1989-10-18,Fråga om påföljd för grovt narkotikabrott. Bl a fråga om beaktande av s k tredjemanshänsyn.,"Brottspåföljd,Skyddstillsyn,Narkotikabrott,",B,8,åklagaren,Oa,A-C.M.,Pw
B 346-89,NJA 1989 s. 847,1989-12-27,Fråga vid åtal för värnpliktsbrott huruvida olovlig utevaro från tjänstgöring varit ägnad att medföra avsevärt men för utbildningen eller tjänsten i övrigt. Tillika fråga om påföljden. (I och II). 39 § värnpliktslagen (1941:967).,"Olovligutevaro,Värnpliktig,Brottspåföljd,",B,8,"åklagaren,åklagaren","Oa,Oa","P.N.,A.N.","Pm,Pm"
B 370-89,NJA 1990 s. 761,1990-12-10,"Fråga vid tillämpningen av 96 § utlänningslagen (1980:376), numera 10 kap 2 § utlänningslagen (1989:529), om innebörden av rekvisitet ""försvårande omständigheter"".","Utlänningslagen,Utländskmedborgare",B,8,åklagaren,Oa,"O.K.,N.K.","Pm,Pw"
B 386-89,NJA 1990 s. 555,1990-09-25,Fråga huruvida det har blivit styrkt att en person som har åtalats för rattfylleri har fört bilen.,"Rattfylleri,Beviskrav",B,8,åklagaren,Oa,K.N.,Pm
B 41-89,NJA 1989 s. 492,1989-09-11,Att utlänning förstör sin passhandling i syfte att försvåra utredning i asylärende har inte ansetts medföra straffansvar för undertryckande av urkund.,"Pass,Undertryckandeavurkund,Utländsk",B,"8,16",åklagaren,Oa,H.G.,Pm
B 418-89,NJA 1990 s. 175,1990-03-29,Straffrihetsregeln i 17 kap 11 § 3 st BrB.,"Skyddandeavbrottsling,Straffrihet",B,8,åklagaren,Oa,"B.H.,R.H.","Pm,Pm"
B 431-89,NJA 1990 s. 84,1990-03-07,Fråga om påföljd vid icke ringa misshandel. (I och II).,"Misshandel,Brottspåföljd,Straffvärde,",B,8,åklagaren,Oa,"C.U.,T.L.","Pm,Pm"
B 451-89,NJA 1990 s. 319,1990-06-07,"Bilförare, som avsiktligt kört på annans bil, har dömts för obehörigt avvikande från trafikolycksplats.","Smitning,Avvikandefrånolycksplats",B,8,åklagaren,Oa,R.J.,Pm
B 480-89,NJA 1989 s. 847,1989-12-27,Fråga vid åtal för värnpliktsbrott huruvida olovlig utevaro från tjänstgöring varit ägnad att medföra avsevärt men för utbildningen eller tjänsten i övrigt. Tillika fråga om påföljden. (I och II). 39 § värnpliktslagen (1941:967).,"Olovligutevaro,Värnpliktig,Brottspåföljd,",B,8,åklagaren,Oa,"P.N.,A.N.","Pm,Pm"
B 633-89,NJA 1990 s. 315,1990-05-31,Fråga om brottsrubricering och påföljd när någon genom inbrott trängt in i annans bostadslägenhet.,"Hemfridsbrott,Egenmäktigtförfarande,",B,8,åklagaren,Oa,L-O.B.,Pm
B 673-89,NJA 1990 s. 84,1990-03-07,Fråga om påföljd vid icke ringa misshandel. (I och II).,"Misshandel,Brottspåföljd,Straffvärde,",B,8,åklagaren,Oa,"C.U.,T.L.","Pm,Pm"
B 699-89,NJA 1990 s. 789,1990-12-20,"Ansvar för överträdelse av reglerna om bashastighet i 64 § 2 st vägtrafikkungörelsen (1972:603) har ansetts inte kunna ådömas, om det för den aktuella vägsträckan har meddelats en lokal trafikföreskrift eller en föreskrift av trafiksäkerhetsverket om annan hastighet än bashastigheten. Detta gäller oavsett om föreskriften har tagits in i kommunens liggare eller ej. (I) - När en lokal trafikföreskrift inte har inneburit någon avvikelse från vad som annars skulle ha gällt enligt reglerna om bashastighet, har däremot straff ansetts kunna ådömas för överskridande av bashastigheten. (II)","Bashastighet,Hastighetsförseelse,",B,8,åklagaren,Oa,R.K.,Pm
B 717-89,NJA 1990 s. 210,1990-04-11,Nödvärn? Nödvärnsexcess? 24 kap 1 och 5 §§ BrB.,"Nödvärn,Nödvärnsexcess,Bevisbörda,Beviskrav",B,8,åklagaren,Oa,F.H.,Pm
B 745-89,NJA 1990 s. 361,1990-06-27,"Sedan åtal väckts för misshandel, har fråga uppkommit huruvida den tilltalade kan fällas till ansvar för ofredande och vållande till kroppsskada utan att åtalet justerats. 30 kap 3 § RB.","Ofredande,Vållandetillkroppsskada,",B,"18,8","åklagaren,J.S.","Oa,Pm",J.N.,Pm
B 780-89,NJA 1990 s. 351,1990-06-25,Vid åtal för grovt häleri fråga bl a om beräkningen av brottsföremålets värde.,"Häleri,Grovtbrott,Värde,Förmögenhetsbrott",B,8,åklagaren,Oa,A.O.,Pm
B 798-89,NJA 1989 s. 870,1989-11-28,"Fråga om påföljd för två ynglingar, som gjort sig skyldiga till försök till rån när de var 17 respektive 18 år gamla.","Brottspåföljd,Fängelse,Ungalagöverträdare,",B,8,åklagaren,Oa,"R.K.,P.N.","Pm,Pm"
B 883-89,NJA 1990 s. 796,1990-12-21,Val av påföljd för rattfylleri.,"Rattfylleri,Brottspåföljd",B,8,åklagaren,Oa,B.O.,Pm
B 904-89,NJA 1990 s. 354,1990-06-26,"I anledning av åtal för försök till främjande av flykt uppkommer frågor om dels huruvida den s k försökspunkten uppnåtts, dels huruvida faran för brottets fullbordande var utesluten på grund av tillfälliga omständigheter. (17 kap 12 § och 23 kap 1 § BrB.)","Försök,Främjandeavflykt,Främjande",B,8,åklagaren,Oa,S.A.,Pw
T 109-89,NJA 1989 s. 614,1989-10-27,"Enligt ett avtal om underhåll m m, som träffats mellan makar i anledning av förestående äktenskapsskillnad, skulle hustrun erhålla hälften av mannens efterlevandepension från försäkringsbolaget SPP. Båda parter utgick utan någon undersökning från att mannen kunde disponera över SPP-försäkringen på angivet sätt. När det senare framkom att avtalet i den angivna delen aldrig hade kunnat förverkligas fullt ut, eftersom det stred mot de av SPP tillämpade försäkringsvillkoren, väckte hustrun talan mot mannen med yrkande att mannen skulle åläggas att teckna en pensionsförsäkring med hustrun som förmånstagare på ett belopp, som beräknats så att hustrun skulle få samma efterlevandeskydd som om det ursprungliga avtalet hade kunnat genomföras. Den förda talan har ansetts inte kunna bifallas vare sig med tillämpning av förutsättningsläran, 36 § avtalslagen eller allmänna kontraktsrättsliga grundsatser.","Förutsättningsläran,Generalklausul,Jämkning,",T,6,A-M.Q.,Pw,L.Q.,Pm
T 11-89,NJA 1989 s. 335,1989-06-19,"Fråga i mål om vårdnad om barn vilken betydelse som skall tillmätas det förhållandet att modern, i strid med överenskommelser och domstols avgörande hindrat fadern från att utöva vårdnad och umgänge.","Vårdnadombarn,Umgängesrätt,Umgänge,Vårdnad,",T,12,B.G.,Pw,L.G. ,Pm
T 160-89,NJA 1990 s. 219,1990-04-12,"Föreskrifter, som meddelas av domstol i beslut i umgängesfråga, kan i undantagsfall innefatta angivande av på vilken plats umgänget skall påbörjas och avslutas samt hur umgängeskostnaderna skall fördelas mellan vårdnadshavaren och den med vilken barnet har rätt till umgänge.","Umgängesrätt,Föreskrifter,Kostnader,Barn,",T,12,A.R. ,Pw,B.H.,Pm
T 17-89,NJA 1990 s. 93,1990-03-09,"I mål om ersättning för ett försäkringsfall, bestående i att ett boningshus brunnit ned, invänder försäkringsgivaren att försäkringstagaren uppsåtligen framkallat försäkringsfallet. Försäkringsgivarens bevisbörda för detta påstående skall uppfylla på samma sätt som gäller i fråga om beviskrav i civilmål i allmänhet.","Bevisbörda,Beviskrav,Försäkringsfall,",T,23,L.H.,Pm,Hansa,Cs
T 171-89,NJA 1989 s. 784,1989-12-15,"Bilhandlare, som vid köp av stulen och falskskyltad bil inte kontrollerat det direkt i bilen instansade chassinumret, har ansetts inte ha varit i god tro vid förvärvet av bilen. 3 § lagen (1986:796) om godtrosförvärv av lösöre.","Godtrosförvärv,Bil,Köpavlösegendom",T,6,Wasa Göta Sakförsäkring,Cs,S.S. Bil AB,Cs
T 172-89,NJA 1990 s. 205,1990-04-06,Fråga i mål om underhållsbidrag till barn om betydelsen av att den underhållsskyldiges arbetsinkomst understeg genomsnittslönen inom hans yrke.,"Underhållsbidrag,Underhållsskyldighet,Barn",T,12,M.H.,Pw,J.S.,Pm
T 178-89,NJA 1990 s. 24,1990-02-13,"Ett i entreprenadavtal använt uttryck ""samtliga arbeten"" har ansetts omfatta även sådana arbeten som efter entreprenadens godkännande vid slutbesiktning skulle utföras för att rätta till de vid denna besiktning konstaterade felen och bristerna.","Avtal,Tolkning,Entreprenad,AB72,",T,6,Skanska AB,Cs,"Handelsbolaget B.S & Co,B.S.,T.J.","Cs,Pm,Pm"
T 191-89,NJA 1990 s. 705,1990-12-03,"Hälsovårdsinspektören i en kommun angav i en skrivelse till en villaägare felaktigt att dennes fastighet utgjorde sanitär olägenhet, eftersom den befunnits ha radondotterhalter överstigande visst gränsvärde, samt rekommenderade honom att installera ett värmeåtervinningssystem. Sedan villaägaren väckt skadeståndstalan mot kommunen med yrkande om ersättning för installationskostnaden, uppkommer fråga (1) om den felaktiga uppgiften lämnats vid myndighetsutövning och, sedan så befunnits vara fallet, (2) om kommunens skadeståndsskyldighet skulle påverkas av att villaägaren haft viss nytta av värmeåtervinningssystemet (compensatio lucri cum damno)","Skadestånd,Compensatiolucricumdamno,Kommun,",T,23,B.L.,Pm,Burlövs kommun,Om
T 192-89,NJA 1990 s. 186,1990-04-04,Sedan en person gripits och förts in i en polisbil bet den gripna en polis i handen. Under färden uttalade den gripna att hon var HIV-smittad. Fråga om ersättning för lidande och annan ideell skada. 1 kap 3 § och 5 kap 1 § skadeståndslagen.,"Skadestånd,Ideellskada,Svedaochvärk,",T,23,K.S.,Pw,M.M.,Pw
T 200-89,NJA 1989 s. 792,1989-12-15,Fråga vid kommuns förköp enligt förköpslagen (1967:868) om kommunen är bunden av ett av säljaren uppställt köpevillkor att köparen samtidigt förvärvar lös egendom från tredje man.,"Förköp,Kommun",T,"17,19",Tenhults Grusmaskiner Aktiebolag,Cs,Jönköpings kommun,Om
T 208-89,NJA 1990 s. 734,1990-12-06,Fråga om tillämplig lag när utländsk försäkringsgivare för regresstalan på grund av skada som uppkommit genom trafikolycka i Sverige. Fråga också huruvida försäkringsgivaren har rätt att återkräva vad som utgivits i ersättning för inkomstförlust i anledning av trafikolyckan.,"Internationellarättsförhållanden,",T,23,Barmer Ersatzkasse,Cf,Skandia,Cs
T 209-89,NJA 1989 s. 751,1989-12-11,Bostadsrättsförening har vid föreningsstämma beslutat att kostnaderna för kabel-TV skall finansieras över årsavgifterna. Beslutet har ansetts inte strida mot den s k likhetsprincipen. 7 kap 16 § lagen (1987:667) om ekonomiska föreningar och 59 § bostadsrättslagen (1971:479).,"Bostadsrätt,Kabel-TV,Likhetsprincipen",T,7,A.W.,Pm,Bostadsrättsföreningen Grane nr 1,Es
T 227-89,NJA 1990 s. 673,1990-11-23,Fråga huruvida i visst fall förelegat rätt att utesluta bolagsman ur handelsbolag.,"Handelsbolag,Uteslutning,Bolagsman,",T,7,"I.L.,S.L","Px,Px",B.L.,Pm
T 251-89,NJA 1992 s. 728,1992-11-16,"Ett avtal om leasing av en lastbil innehöll bl a en bestämmelse att, om uthyraren sade upp avtalet på någon av vissa angivna grunder, uthyraren hade rätt till skadestånd. Sedan lastbilen sålts av hyresmannen hade fråga uppkommit om uthyraren hade rätt till skadestånd enligt avtalet, trots att det aldrig sagts upp.","Leasing,Skadestånd,Uppsägning",T,6,Bonnier & Bonnier Finans Leasing Aktiebolag ,Cs,X.X.,Pm
T 254-89,NJA 1990 s. 65,1990-02-28,"En person, som felaktigt antecknats i handelsregistret som bolagsman i ett handelsbolag, har ansetts inte kunna göras betalningsansvarig för handelsbolagets skulder enbart på grund av registeruppgiften.","Handelsbolag,Handelsregisterlagen,Bolagsman,",T,7,Gefa AB,Cs,A.E..M.B.,"Px,Pw"
T 270-89,NJA 1990 s. 331,1990-06-15,Fråga om god tro hos köpare av fastighet beträffande nyttjanderätt som upplåtits av tidigare ägare. 7 kap 14 § JB.,"Garanti,Godtro,Nyttjanderätt,",T,19,"F.A, M.A","Pm,Pw","G.L,T.L,J.L","Pw,Pm,Px"
T 276-89,NJA 1992 s. 21,1992-01-08,Ett företag som drev en stenkrossningsanläggning inhyrde från ett svetsningsföretag för en begränsad tid en erfaren svetsare med uppgift att utföra vissa reparationsarbeten. Under arbetet vållade svetsaren av oaktsamhet brandskada på anläggningen. Svetsningsföretaget har ansetts böra bära det skadeståndsrättsliga arbetsgivaransvaret för skadan.,"Skadestånd,Arbetsgivaransvar,Principalansvar",T,"23,15",Dalbo Kvartsit AB,Cs,Melleruds Svetsmekano AB,Cs
T 296-89,NJA 1993 s. 252,1993-06-10,Fråga vid vilken tidpunkt tillämpning av skiljeavtal påkallats.,"Skiljedom,Klandertalan,Skiljeavtal",T,3,J.D.,Pm,J.A.,Px
T 300-89,NJA 1990 s. 687,1990-11-29,Beslut om uteslutning ur idrottsförening har ansetts i princip inte kunna prövas av domstol på materiell grund.,"Domstolsprövning,Förening,Ideellförening,",T,18,"S.N.,G.N.","Pm,Pw",Ringsjö Orienteringsklubb,Is
T 31-89,NJA 1990 s. 80,1990-02-28,En avelstik har betäckts av lösdrivande hanhund och blivit dräktig med blandrasvalpar. Det har ansetts att ägaren av tiken härigenom lidit en sakskada och att ägaren av hanhunden blivit skadeståndsskyldig enligt 6 § lagen (1943:459) om tillsyn över hundar och katter.,"Skadestånd,Hund,Sakskada",T,23,A.O.,Pw,I.U.,Pw
T 320-89,NJA 1992 s. 66,1992-02-19,Optionsavtal beträffande överlåtelse av bostadsrätt är bindande om det är upprättat i skriftlig form.,"Avtalsfrihet,Bostadsrätt,Optionsavtal,",T,"19,6","E.G,L.G","Pw,Pm",G.L,Px
T 326-89,NJA 1990 s. 499,1990-08-13,"A lät på en landskapskarta illustrera turistattraktioner med teckningar. Fråga om vissa av teckningarna, som var förhållandevis enkla, hade sådan självständighet och originalitet att de hade upphovsrättsligt skydd.","Upphovsrätt,Teckning",T,14,H.L.,Pm,ICA Essve AB,Cs
T 330-89,NJA 1990 s. 405,1990-07-11,Fråga huruvida en hyresgäst som försummat att betala en månads hyra förverkat sin hyresrätt eller om hans underlåtenhet varit av ringa betydelse. 12 kap 42 § JB.,"Hyra,Förverkandeavhyresrätt",T,19,S.J. ,Pm,L.A.,Pm
T 380-89,NJA 1990 s. 714,1990-12-05,Vid omprövning enligt 13 kap 11 § JB av tomträttsavgäld har tillämpats den i NJA 1986 s 272 använda direkta metoden för att bestämma avgäldsräntan. Fråga om vilket tidsperspektiv som då gäller vid jämförelsen med den långsiktiga realräntan på den allmänna kapital marknaden (prejudikatfrågedispens meddelad).,"Tomträtt,Tomträttsavgäld,Avgäldsränta,",T,19,Stockholms kommun,Om,"x.x.,x.x.","Px,Px"
T 401-89,NJA 1992 s. 337,1992-06-10,"Fråga om ersättningsreglerna i lagen (1985:139) om ersättning för intrång i enskild fiskerätt skall åsidosättas enligt bestämmelserna i 2 kap 18 § och 11 kap 14 § regeringsformen. Tillika fråga om förstnämnda lag, med hänsyn till uttalanden i dess förarbeten, begränsar ersättningen till tio års inkomstbortfall.","Lagprövning,Handredskap,Fiske,Fiskerätt,",T,"5,23","Hargs Egendom Aktiebolag,dödsboet efter C.S.B-F.","Cs,Xs",staten genom Justitiekanslern,Os
T 412-89,NJA 1990 s. 307,1990-05-21,"Svaranden i ett mål om underhållsbidrag har framställt ett yrkande gentemot käranden som har prövats av TR:n, trots att stämning inte har utfärdats, Sedan svaranden fullföljt talan mot TR:ns dom och därvid vidhållit sitt yrkande, har HovR:n ansetts skyldig att pröva yrkandet.","Domvilla,Rättegångsfel,Stämning,Undanröjande,",T,"18,12",A,Pw,S.O.R.,Pm
T 440-89,NJA 1992 s. 168,1992-03-25,Frågor om tolkning av avtal med konkursbo samt om behörighet för tjänsteman vid finansföretag att lämna bindande utfästelse om ingå ende av leasingavtal.,"Avtalstolkning,Ställningsfullmakt,Leasing",T,6,"Atobi Fästelement AB:s konkursbo,Gunnebo AB","Xs,Cs",PKfinans AB,Cs
T 453-89,NJA 1992 s. 845,1992-12-22,Fråga om försäkringsbolag i enlighet med vad som föreskrivs i 39 § 2 st konsumentförsäkringslagen (1980:38) förklarat att bolaget tagit slutlig ställning till ersättningsfrågan (I och II).,"Försäkringsbolag,Konsumentförsäkring,",T,23,"S.C.,J.Å.","Pm,Pm","Försäkrings AB Holmia,Länsförsäkringsbolagens AB","Cs,Cs"
T 59-89,NJA 1990 s. 591,1990-10-09,"En inköps- och försäljningsavdelning vid ett aktiebolag förestods av en person, som på grund av sin ställning var behörig att för bolaget sluta avtal om köp och försäljning av maskiner. Efter det att en köpare av en maskin hävt köpet och begärt att av bolaget återfå erlagd köpeskilling jämte skadestånd, träffade avdelningsföreståndaren för bolagets räkning en slutlig uppgörelse i tvisten. Fråga huruvida avdelningsföreståndarens behörighet omfattade även den särskilda typen av avtal.","Fullmakt,Kombinationsfullmakt,",T,6,B. Plastic A/S,Cf,L.B. Maskin AB,Cs
T 76-89,NJA 1992 s. 326,1992-06-05,Fråga om skadeståndsskyldighet för hyresvärd enligt 12 kap 11 § 2 st och 16 § 1 st 3 JB.,"Skadestånd,Hyra,Hyresvärd",T,19,S.J. Aktiebolag,Cs,K.H.,Pm
T 80-89,NJA 1990 s. 419,1990-07-13,Fråga huruvida skiljenämnd genom beslut att avskriva skiljetvist från vidare handläggning begått ett sådant fel som enligt 21 § 1 st 4 lagen (1929:145) om skiljemän skulle föranleda att beslutet hävdes.,"Skiljeförfarande,Klander,Klandertalan,",T,3,Partrederiet för M/S Red Sea,Cs,Götaverken Sölvesborg AB,Cs
T 81-89,NJA 1990 s. 745,1990-12-07,"Sedan ett bolag genom ett optionsavtal för viss tid förvärvat licensrättigheter till en vacuumpump med rätt för bolaget att före avtalstidens slut träffa ett slutligt licensavtal inledde bolaget förhandlingar med en företagare L om återförsäljarrätt till pumpen. Efter ca ett år träffade bolaget ett slutligt licensavtal och beslöt i samband därmed att inte ingå något återförsäljaravtal med L, varom L underrättades några veckor senare. Fråga huruvida bolaget genom sitt uppträdande under förhandlingarna med L ådragit sig skadeståndsansvar.","Skadestånd,Culpaincontrahendo,Letterof",T,23,B.L.,Pm,Svenska Rotormaskiner Aktiebolag,Cs
T 83-89,NJA 1990 s. 196,1990-04-06,Fråga om jämkning enligt 6 kap 2 § skadeståndslagen av skadestånd på grund av misshandel. Betydelsen av att brottsskadeersättning kan väntas utgå till den skadelidande.,"Skadestånd,Jämkning,Misshandel",T,"23,8",B.P,Px,P.I,Px
B 1010-79,NJA 1981 s. 787,1981-06-09,"Sökande av socialhjälp, som underlåtit att självmant upplysa om att han hade erhållit förskott på uppgiven inkomst, har befunnits ej vara skyldig till bedrägeri.","Bedrägeri,Socialhjälp,Inkomstuppgift",B,8,åklagaren,Oa,L.J.,Pm
B 1040-84,NJA 1985 s. 851,1985-12-19,"Fråga om påföljd för brott bestående i vägran att fullgöra vapenfri tjänst. Tilltalad, som i HD fått fängelsestraff om en månad ändrat till fängelse 14 dagar, har enligt 31 kap 2 och 10 §§ RB tillerkänts ersättning av allmänna medel för rättegångskostnader i HD.","Vägran,Vapenfritjänst,Ersättning,",B,"8,18",åklagaren,Oa,J.P.,Pm
B 1078-84,NJA 1985 s. 570,1985-09-04,Fråga om val av påföljd för rattfylleri.,"Brottspåföljd,Rattfylleri",B,"18,8",åklagaren,Oa,D.K.,Px
B 1081-84,NJA 1987 s. 655,1987-10-01,"En grupp polismän i en polisbuss har, utan att laga grund förelegat, med våld tvingat en person att åka med i polisbussen från Stockholms centrum till Skeppsholmen. Såväl bussföraren som en av de övriga polismännen har fällts till ansvar för olaga tvång, trots att ingen av dem hade ställning som förman.","Polis,Olagatvång,Polisbil,Förman",B,"8,1",åklagaren,Oa,"L.J.,T.P.,S-Å.W.","Pw,Pm,Pm"
B 1111-84,NJA 1987 s. 215,1987-04-14,"Fråga huruvida hos polismyndighet anställda stämningsmän, vilka vid sidan av tjänsten mot betalning utfört för myndigheten avsedda delgivningsuppdrag, gjort sig skyldiga till brott. Trolöshet mot huvudman eller myndighetsmissbruk?","Stämningsman,Delgivning,Trolöshetmot",B,8,åklagaren,Oa,"B.Å.,U.S.,R.V.,P-O.C.","Px,Px,Px,Px"
B 1112-84,NJA 1986 s. 319,1986-06-04,Ersättning för lidande enligt 1 kap 3 § skadeståndslagen har tillerkänts målsägande vid brotten otukt med barn och otukt med ungdom.,"Otuktmedbarn,Otuktmedungdom,Ersättning,",B,"23,8",åklagaren,Oa,S.L.,Pm
B 112-84,NJA 1985 s. 529,1985-07-19,Fråga om vid utbyte av elektriska starkströmsledningar den för arbetet ansvarige elinstallatören genom underlåtenhet att utöva överinseende över arbetet och tillsyn beträffande kontrollen gjort sig skyldig till förseelse mot 3 § 2 st elinstallatörsförordningen (1975:967) och till allmänfarlig vårdslöshet.,"Elinstallation,Allmänfarligvårdslöshet,",B,"8,18",åklagaren,Oa,"P.A.,K-J.J.","Px,Px"
B 1215-84,NJA 1986 s. 350,1986-06-03,"En person som köpt en bil på avbetalning med äganderättsförbehåll och sålt den vidare innan den betalts helt har, i visst fall, dömts för bedrägeri mot köparen.","Avbetalningsköp,Äganderättsförbehåll,Bil,",B,8,åklagaren,Oa,B.N.,Pm
B 1223-84,NJA 1986 s. 525,1986-10-01,"Enligt 15 § 2 st körkortslagen (1977:477) gällde tidigare att ett körkort blev ogiltigt, om det inte efter ansökan av körkortshavaren förnyades inom viss tid. Efter lagändring, som trädde i kraft d 1 juli 1985, gäller enligt samma lagrum att ett körkort blir ogiltigt först om det inte efter anmaning förnyas. En person som före lagändringen körde bil utan att ha förnyat sitt körkort enligt vad som då gällde har frikänts, eftersom körningen inte var straffbar enligt den lag som gällde när domen meddelades. 5 § 2 st andra meningen lagen om införande av BrB.","Lagändring,Körkort,Ansökan,Anmaning",B,8,åklagaren,Oa,S.C.,Pm
B 123-84,NJA 1984 s. 780,1984-11-22,Förbudet i 7 kap 1 § 1 st luftfartslagen (1957:297) att utöva linjefart i förvärvssyfte utan regeringens tillstånd har ansetts förutsätta att flygtrafiken står öppen för allmänheten. Tillika fråga om innebörden i allmänhetsrekvisitet.,"Luftfart,Regeringen,Tillstånd,Flygtrafik",B,24,åklagaren,Oa,G.L.,Pm
B 1233-84,NJA 1986 s. 572,1986-11-03,Fråga huruvida ansvarsbestämmelser i naturvårdslagen - 37 § 1 st 1 och 2 jämförda med 8 och 10 §§ samt 16 § 1 st - avser det fall att en byggnad uppförs av någon som ej är markägare och ej heller härleder sin rätt att uppföra byggnaden från markägaren.,"Byggnad,Markägare",B,"11,8",åklagaren,Oa,L.V.,Px
B 133-84,NJA 1985 s. 553,1985-08-28,Arbetsgivare har underlåtit att avge i 54 § 1 mom uppbördslagen föreskrivna uppbördsdeklarationer med redovisning av gjorda skatteavdrag för anställdas preliminära skatt. Eftersom innehållen preliminär skatt numera tillgodoräknas de anställda på grundval av kontrolluppgifter enligt 37 § taxeringslagen och inte av uppbördsdeklarationerna har underlåtenheten inte i och för sig medfört fara för ett oriktigt sådant tillgodoräknande. Däremot har fara ansetts föreligga för att skatt skulle påföras arbetsgivaren med orätt belopp. Arbetsgivaren har med hänsyn härtill ansetts skyldig till vårdslös uppbördsredovisning enligt 9 § skattebrottslagen. Avgivande av kontrolluppgifter med uppgift om gjorda skatteavdrag har inte godtagits som rättelse enligt 12 § skattebrottslagen.,"Arbetsgivare,Uppbördsdeklaration,Skatteavdrag,",B,22,åklagaren,Oa,K.B.,Pm
B 143-79,NJA 1981 s. 277,1981-02-09,"När avgiven allmän självdeklaration innehåller flera oriktiga uppgifter, har hela det oriktiga förfarandet enligt deklarationen ansetts skola i skattebrottsligt hänseende bedömas som ett t brott, oavsett om samtliga oriktiga uppgifter avgivits uppsåtligen eller det beträffande vissa av dem endast kunnat styrkas grov oaktsamhet. - Brottspåföljden har bestämts, på grundval av en samlad bedömning av hela den ådagalagda brottsligheten, inom den strängaste av de strafflatituder som är stadgade i de tillämpliga straffbuden. - Vid prövningen, om de oriktiga uppgifter beträffande vilka grov oaktsamhet befunnits föreligga skall föranleda ansvar för vårdslös skatteuppgift, har hänsyn tagits till att dessa uppgifter tillsammans med övriga oriktiga uppgifter i deklarationen sammanlagt rört betydande belopp. 5 § skattebrottslagen.","Skattebrott,Uppsåt,Oaktsamhet,Brottspåföljd",B,22,åklagaren,Oa,"E.S.,S.T.M.","Pm,Pm"
B 15-79,NJA 1982 s. 825,1982-12-21,"Företrädare för speditionsföretag, som var ombud för en tullskyldig, har till tullmyndigheten lämnat tulldeklaration av seende visst gods. Fråga om oriktig uppgift i deklarationen lämnats av grov oaktsamhet och om uppgiften föranlett fara för att tull eller annan allmän avgift skulle undandras statsverket. 5 § 2 st lagen (1960:418) om straff för varusmuggling.","Tulldeklaration,Oaktsamhet,Speditionsfirma,",B,8,åklagaren,Oa,"R.F.,L.P.","Px,Px"
B 181-79,NJA 1981 s. 869,1981-09-17,N har såsom ställföreträdare för ett upplöst aktiebolag ansetts kunna föra ansvarstalan i HovR mot J. Frågan huruvida N i sin angivna egenskap kunnat åläggas återbetalningsskyldighet gentemot statsverket för försvaret av J har besvarats nekande.,"Aktiebolag,Ställföreträdare,Talerätt,",B,"18,8",Å.N.,Px,J.J.,Px
B 183-84,NJA 1984 s. 889,1984-12-07,Genom att använda fotokopior av tiokronorssedlar har en bilförare kunnat tillägna sig bensin ur en bensinautomat. Gärningen har bedömts som stöld.,"Fotokopia,Sedlar,Stöld,Bensinautomat",B,8,åklagaren,Oa,S.I.,Pm
B 193-84,NJA 1986 s. 546,1986-10-10,Fråga om ansvar för nedskräpning när i samband med renskötsel hö har kvarlämnats i naturen. 23 § och 37 § 1 st 7 naturvårdslagen (1964:822).,"Nedskräpning,Renskötsel",B,8,åklagaren,Oa,P-H.L.,Pm
B 223-84,NJA 1985 s. 258,1985-04-02,Val av påföljd för rattfylleri.,"Brottspåföljd,Rattfylleri",B,"18,8",åklagaren,Oa,G.J.,Pw
B 23-84,NJA 1984 s. 740,1984-11-02,Val av påföljd för försök till försäkringsbedrägeri.,"Brottspåföljd,Försök,Försäkringsbedrägeri",B,23,åklagaren,Oa,B.P.,Pm
B 234-79,NJA 1981 s. 1014,1981-11-06,"Två aktiebolag vilkas verksamhet varit av stor betydelse för sysselsättningen på orten har vid flera uppbördsterminer underlåtit att inbetala innehållna källskattebelopp. Åtal mot ställföreträdare för bolagen för brott mot uppbördslagen har ogillats, enär denne har haft fog för att utgå från att berörda myndigheter och särskilt kronofogdemyndigheten godtog att han underlät att betala källskattemedlen i behörig ordning för att han på det sättet skulle kunna driva företagen vidare i avvaktan på en rekonstruktion. 81 § uppbördslagen (1953:272).","Aktiebolag,Källskatt,Rekonstruktion,",B,22,åklagaren,Oa,B.O.,Pm
B 246-79,NJA 1981 s. 718,1981-06-18,"Allmän åklagare yrkade ansvar på A för ocker under påstående, att A hade utnyttjat B:s oförstånd genom att ta emot viss egendom som gåva av denne. Åklagaren gjorde inte gällande att A hade förmått eller påverkat B att ge honom egendomen. I samband med åtalet fördes även talan mot A om enskilt anspråk. Den åtalade gärningen har ansetts inte vara att hänföra till ocker. 9 kap 5 § BrB, jfr 31 § avtalslagen.","Ocker,Gåva,Enskiltanspråk",B,"6,8",åklagaren,Oa,A.P.,Px
